scope,document,field,precision,recall,f1,levenshtein,TP,FP,FN
document,a1_167384,unit,0.25,0.2,0.22222222222222224,0.28068181818181814,1,3,4
document,a1_167384,eventDescription,0.0,0.0,0.0,0.3655367231638418,0,4,5
document,a1_167384,eventType,0.5,0.4,0.4444444444444445,0.7333333333333334,2,2,3
document,a1_167386,quantity,1.0,1.0,1.0,1.0,2,0,0
document,a1_167386,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_167386,unit,1.0,1.0,1.0,1.0,2,0,0
document,a1_167386,eventDescription,0.0,0.0,0.0,0.5753301320528211,0,2,2
document,a1_167386,eventType,1.0,1.0,1.0,1.0,2,0,0
document,a1_17111,quantity,1.0,1.0,1.0,1.0,5,0,0
document,a1_17111,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_17111,unit,1.0,1.0,1.0,1.0,5,0,0
document,a1_17111,eventDescription,0.4,0.4,0.4000000000000001,0.6216210739614996,2,3,3
document,a1_17111,eventType,0.8,0.8,0.8000000000000002,0.9666666666666666,4,1,1
document,a1_17166,quantity,1.0,1.0,1.0,1.0,10,0,0
document,a1_17166,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_17166,unit,0.5,0.5,0.5,0.5496969696969697,5,5,5
document,a1_17166,eventDescription,0.2,0.2,0.20000000000000004,0.5830705047976638,2,8,8
document,a1_17166,eventType,0.9,0.9,0.9,0.9833333333333334,9,1,1
document,a1_17167,quantity,1.0,1.0,1.0,1.0,5,0,0
document,a1_17167,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_17167,unit,1.0,1.0,1.0,1.0,5,0,0
document,a1_17167,eventDescription,0.4,0.4,0.4000000000000001,0.6216210739614996,2,3,3
document,a1_17167,eventType,0.8,0.8,0.8000000000000002,0.9666666666666666,4,1,1
document,a1_172074,quantity,1.0,0.8947368421052632,0.9444444444444444,0.8947368421052632,17,0,2
document,a1_172074,modifier,0.0,0.0,0.0,0.0,0,2,2
document,a1_172074,unit,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.6728452146408802,12,5,5
document,a1_172074,eventDescription,0.5882352941176471,0.5263157894736842,0.5555555555555555,0.6376959555752125,10,7,9
document,a1_172074,eventType,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.868421052631579,14,3,5
document,a1_17250,quantity,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6805555555555555,5,7,7
document,a1_17250,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_17250,unit,0.25,0.25,0.25,0.6502028564528565,3,9,9
document,a1_17250,eventDescription,0.0,0.0,0.0,0.45832656857327186,0,12,12
document,a1_17250,eventType,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9722222222222222,10,2,2
document,a1_173902,quantity,1.0,1.0,1.0,1.0,3,0,0
document,a1_173902,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_173902,unit,1.0,1.0,1.0,1.0,3,0,0
document,a1_173902,eventDescription,0.0,0.0,0.0,0.7551020408163266,0,3,3
document,a1_173902,eventType,0.0,0.0,0.0,0.8333333333333334,0,3,3
document,a1_174800,quantity,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8956043956043956,12,1,2
document,a1_174800,modifier,1.0,1.0,1.0,1.0,1,0,0
document,a1_174800,unit,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8968253968253969,12,1,2
document,a1_174800,eventDescription,0.23076923076923078,0.21428571428571427,0.22222222222222224,0.39887435510433755,3,10,11
document,a1_174800,eventType,0.6153846153846154,0.5714285714285714,0.5925925925925927,0.869047619047619,8,5,6
document,a1_174858,quantity,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,6,1,0
document,a1_174858,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_174858,unit,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7619047619047619,5,2,1
document,a1_174858,eventDescription,0.0,0.0,0.0,0.24954175526582573,0,7,6
document,a1_174858,eventType,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.7380952380952381,1,6,5
document,a1_17514,quantity,1.0,0.5,0.6666666666666666,0.5,1,0,1
document,a1_17514,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_17514,unit,1.0,0.5,0.6666666666666666,0.5,1,0,1
document,a1_17514,eventDescription,0.0,0.0,0.0,0.07142857142857145,0,1,2
document,a1_17514,eventType,1.0,0.5,0.6666666666666666,0.5,1,0,1
document,a1_17790,quantity,0.5,0.5555555555555556,0.5263157894736842,0.7353205128205128,5,5,4
document,a1_17790,modifier,1.0,1.0,1.0,1.0,4,0,0
document,a1_17790,unit,0.5,0.5555555555555556,0.5263157894736842,0.6957837047862624,5,5,4
document,a1_17790,eventDescription,0.4,0.4444444444444444,0.4210526315789474,0.6636768149882905,4,6,5
document,a1_17790,eventType,0.8,0.8888888888888888,0.8421052631578948,0.8833333333333334,8,2,1
document,a1_1821,quantity,0.6,1.0,0.7499999999999999,0.6,3,2,0
document,a1_1821,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_1821,unit,1.0,1.0,1.0,1.0,3,0,0
document,a1_1821,eventDescription,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6301169590643275,1,2,2
document,a1_1821,eventType,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9444444444444445,2,1,1
document,a1_183247,quantity,1.0,1.0,1.0,1.0,3,0,0
document,a1_183247,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_183247,unit,1.0,1.0,1.0,1.0,3,0,0
document,a1_183247,eventDescription,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5626984126984127,1,2,2
document,a1_183247,eventType,1.0,1.0,1.0,1.0,3,0,0
document,a1_186659,quantity,1.0,1.0,1.0,1.0,3,0,0
document,a1_186659,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_186659,unit,1.0,1.0,1.0,1.0,3,0,0
document,a1_186659,eventDescription,0.0,0.0,0.0,0.1578947368421053,0,3,3
document,a1_186659,eventType,1.0,1.0,1.0,1.0,3,0,0
document,a1_1871,quantity,0.75,0.5454545454545454,0.631578947368421,0.5984848484848485,6,2,5
document,a1_1871,modifier,0.0,0.0,0.0,0.0,0,0,1
document,a1_1871,unit,0.75,0.5454545454545454,0.631578947368421,0.577020202020202,6,2,5
document,a1_1871,eventDescription,0.25,0.18181818181818182,0.2105263157894737,0.5339005526752563,2,6,9
document,a1_1871,eventType,0.75,0.5454545454545454,0.631578947368421,0.696969696969697,6,2,5
document,a1_187536,quantity,0.0,0.0,0.0,0.0,0,0,0
document,a1_187536,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_187536,unit,0.0,0.0,0.0,0.0,0,0,0
document,a1_187536,eventDescription,0.0,0.0,0.0,0.0,0,0,0
document,a1_187536,eventType,0.0,0.0,0.0,0.0,0,0,0
document,a1_187620,quantity,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,2,1,1
document,a1_187620,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_187620,unit,0.3333333333333333,0.5,0.4,0.25,1,2,1
document,a1_187620,eventDescription,0.0,0.0,0.0,0.15625,0,3,3
document,a1_187620,eventType,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,2,1,1
document,a1_187669,quantity,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8,8,1,1
document,a1_187669,modifier,0.0,0.0,0.0,0.0,0,0,3
document,a1_187669,unit,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7476190476190476,7,2,2
document,a1_187669,eventDescription,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6326974911880573,3,6,6
document,a1_187669,eventType,0.0,0.0,0.0,0.6666666666666667,0,9,9
document,a1_187709,quantity,1.0,0.6666666666666666,0.8,0.6666666666666666,6,0,3
document,a1_187709,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_187709,unit,0.0,0.0,0.0,0.2777777777777778,0,6,9
document,a1_187709,eventDescription,0.0,0.0,0.0,0.4323361823361824,0,6,9
document,a1_187709,eventType,0.0,0.0,0.0,0.5555555555555556,0,6,9
document,a1_189337,quantity,0.2,0.2,0.20000000000000004,0.8095238095238095,1,4,4
document,a1_189337,modifier,1.0,0.3333333333333333,0.5,0.3333333333333333,1,0,2
document,a1_189337,unit,0.4,0.4,0.4000000000000001,0.4,2,3,3
document,a1_189337,eventDescription,0.0,0.0,0.0,0.08925667828106854,0,5,3
document,a1_189337,eventType,0.0,0.0,0.0,0.5,0,5,3
document,a1_189340,quantity,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,6,1,0
document,a1_189340,modifier,0.0,0.0,0.0,0.0,0,0,4
